Mouser OR Mfr. # (Input),Customer #,Mouser Part Number,Mfr Part Number,Manufacturer Name,Description,Min,Mult,Availability,Package Type,-----,Unit Price 1,Extended Price 1,Qty. 2,Qty. 1,Extended Price 2,Qty. 3,Price 3,Extended Price 3,Lead Time in Days,Lead Time in Weeks,Lifecycle,Pb Free,RoHS,Package Quantity,NCNR,Datasheet URL
750-HBS510-HF,,750-HBS510-HF,HBS510-HF,Comchip Technology,Bridge Rectifiers Bridge Rectifiers BRIDGE RECTIFIER 1000V 5A,1,1,"2,084",REEL,5,$0.91 ,$4.57 ,,3,,,,,84,12,New Product,Yes,Yes,"2,500",No,https://www.mouser.com/datasheet/2/80/QW_JBR18_HBS502_HF_Thru__HBS510_HF_RevA-3032442.pdf
611-JS202011SCQN,,611-JS202011SCQN,JS202011SCQN,C&K Switches,Slide Switches Slide Switches DPDT SMT .3A,1,1,"18,637",REEL,5,$0.58 ,$2.90 ,,3,,,,,105,15,,No,Yes,"1,000",No,https://www.mouser.com/datasheet/2/240/js-3050885.pdf
710-750343109,,710-750343109,750343109,Wurth Elektronik,Power Transformers Power Transformers WE-FB SMD Flyback Dialog Semi iW1830,1,1,"1,049",TRAY,5,$7.68 ,$38.40 ,,3,,,,,160,23,,Yes,Yes,70,No,https://www.mouser.com/datasheet/2/445/750343109-3097135.pdf
595-UCC28600DR,,595-UCC28600DR,UCC28600DR,Texas Instruments,AC/DC Converters AC/DC Converters Quasi Res Flyback Green Mode Cntrlr,1,1,"5,825",REEL,5,$1.20 ,$6.00 ,,3,,,,,680,98,,No,Yes,"2,500",No,https://www.ti.com/lit/pdf/slua399b
78-VO617A-4X016,,78-VO617A-4X016,VO617A-4X016,Vishay,Transistor Output Optocouplers Transistor Output Optocouplers RECOMMENDED ALT 782-SFH617A-4X016,1,1,"317,561",,5,$0.40 ,$1.98 ,,3,,,,,280,40,,No,Yes,"4,000",No,https://www.vishay.com/doc?83590
595-UCC24610DR,,595-UCC24610DR,UCC24610DR,Texas Instruments,Gate Drivers Gate Drivers Secondary Side Sync Rectifier Controller,1,1,"2,380",REEL,5,$1.67 ,$8.35 ,,3,,,,,42,6,,No,Yes,"2,500",No,https://www.ti.com/lit/pdf/slua604
511-LD39200DPUR,,511-LD39200DPUR,LD39200DPUR,STMicroelectronics,LDO Voltage Regulators LDO Voltage Regulators 2 A high PSRR ultra low drop linear regulator reverse current protection,1,1,"505,288",REEL,5,$1.25 ,$6.25 ,,3,,,,,229,33,,Yes,Yes,"4,500",No,https://www.mouser.com/datasheet/2/389/ld39200-1849495.pdf
595-INA180A3IDBVR,,595-INA180A3IDBVR,INA180A3IDBVR,Texas Instruments,"Current Sense Amplifiers Current Sense Amplifiers 26V, 350kHz current sense amplifier 5-SOT-23 -40 to 125",1,1,"29,160",REEL,5,$0.43 ,$2.14 ,,3,,,,,131,19,,Yes,Yes,"3,000",No,https://www.ti.com/lit/pdf/slya029
556-ATTINY85-20SFR,,556-ATTINY85-20SFR,ATTINY85-20SFR,Microchip,8-bit Microcontrollers - MCU 8-bit Microcontrollers - MCU 8KB 512BSRAM 20MHZ GRN,1,1,"2,699",REEL,5,$1.61 ,$8.05 ,,3,,,,,192,28,,Yes,Yes,"2,000",No,https://www.mouser.com/datasheet/2/268/Atmel_2586_AVR_8_bit_Microcontroller_ATtiny25_ATti-1315542.pdf
871-B72307S0271K101,,871-B72307S0271K101,B72307S0271K101,EPCOS / TDK,"Varistors Varistors 7mm, 275Vac, 10%, Compact Series",1,1,"9,042",BULK,5,$0.44 ,$2.18 ,,3,,,,,168,24,New Product,Yes,Yes,"1,000",No,https://product.tdk.com/system/files/dam/doc/product/protection/voltage/lead-disk-varistor/data_sheet/70/db/var/siov_leaded_standard_compact_s07_series.pdf?ref_disty=mouser
